Timestamp,B0S0X,B0S0Y,B0S0Z,B0S1X,B0S1Y,B0S1Z,B0S2X,B0S2Y,B0S2Z,B0S3X,B0S3Y,B0S3Z,B0S4X,B0S4Y,B0S4Z,B1S0X,B1S0Y,B1S0Z,B1S1X,B1S1Y,B1S1Z,B1S2X,B1S2Y,B1S2Z,B1S3X,B1S3Y,B1S3Z,B1S4X,B1S4Y,B1S4Z,B2S0X,B2S0Y,B2S0Z,B2S1X,B2S1Y,B2S1Z,B2S2X,B2S2Y,B2S2Z,B2S3X,B2S3Y,B2S3Z,B2S4X,B2S4Y,B2S4Z,B3S0X,B3S0Y,B3S0Z,B4S0X,B4S0Y,B4S0Z,B5S0X,B5S0Y,B5S0Z,B6S0X,B6S0Y,B6S0Z,B7S0X,B7S0Y,B7S0Z
11:58:22.736055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
11:58:22.748941,-1355.85,14.4,-1748.93,58.8,-6.15,-535.3,250.65,-789.9,-1344.31,2013.6,3975.6,-4685.12,-573.75,220.5,-1047.62,2165.25,-476.4,-147.38,2836.35,-3937.35,-1433.12,2981.25,-717.15,1142.24,-3653.55,534.15,5818.16,-2415.0,659.25,-721.16,1450.05,-123.75,410.19,-241.05,-57.3,169.88,-611.1,750.6,673.0,-4032.75,-8.4,-4924.94,435.45,-776.25,41.38,-4330.35,-2469.3,-6944.92,226.35,-36.15,187.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:22.749947,-1355.4,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58:22.763214,-1360.05,12.3,-1754.74,60.0,-4.8,-540.14,249.6,-794.55,-1347.21,2014.05,3973.95,-4709.56,-572.4,213.0,-1048.34,2166.45,-477.0,-141.81,2829.3,-3932.25,-1435.54,2984.85,-722.25,1148.77,-3655.95,531.3,5808.97,-2409.3,657.6,-722.37,1454.85,-115.95,416.0,-246.9,-54.75,170.61,-615.75,755.7,681.23,-4029.45,-4.05,-4932.44,439.05,-769.5,48.4,-4314.45,-2475.3,-6943.71,225.3,-35.25,193.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:22.774892,-1359.3,15.3,-1754.74,61.2,-15.6,-529.5,244.05,-794.55,-1345.04,2016.0,3967.35,-4687.78,-569.7,213.15,-1045.92,2174.7,-470.7,-142.54,2830.2,-3933.45,-1437.0,2975.55,-716.1,1141.76,-3651.9,536.7,5790.09,-2413.2,652.8,-732.05,1450.5,-113.85,417.21,-244.35,-52.65,171.58,-617.1,754.05,674.7,-4033.05,-13.5,-4934.62,439.2,-772.35,45.25,-4325.85,-2476.5,-6951.45,224.85,-37.8,189.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:22.819924,-1357.05,18.9,-1747.48,59.25,-10.2,-537.24,245.1,-795.45,-1349.88,2011.35,3964.05,-4694.32,-567.9,217.05,-1045.44,2170.65,-476.4,-151.01,2833.95,-3936.45,-1441.11,2980.95,-720.0,1149.5,-3657.0,532.05,5818.89,-2418.3,654.9,-730.84,1453.2,-118.65,409.95,-237.75,-53.4,178.11,-610.5,752.25,671.55,-4027.95,-13.95,-4933.65,441.3,-777.3,42.35,-4316.55,-2470.5,-6929.19,225.6,-35.55,196.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:23.068311,-1354.65,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2472.0,-6951.21,220.95,-40.5,191.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:23.302538,-1360.8,15.9,-1753.29,52.95,-4.65,-534.58,246.6,-798.9,-1337.05,2008.8,3969.0,-4694.56,-568.5,219.45,-1043.26,2176.65,-474.9,-145.68,2831.25,-3934.2,-1437.48,2977.95,-714.9,1134.74,-3657.75,534.75,5817.68,-2410.05,654.45,-733.5,1454.55,-125.7,418.42,-248.1,-55.35,179.81,-614.85,752.55,677.36,-4029.45,-7.35,-4938.98,441.45,-772.8,33.64,-4315.8,-2473.5,-6937.17,222.0,-30.45,192.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:23.535089,-1358.25,15.3,-1755.95,57.3,-5.1,-532.88,245.55,-792.3,-1333.9,2005.5,3963.9,-4680.52,-564.45,216.0,-1047.13,2168.7,-474.0,-145.93,2830.05,-3931.5,-1429.01,2982.6,-720.15,1147.08,-3663.6,532.5,5819.62,-2413.05,654.9,-726.24,1455.3,-119.55,412.37,-235.2,-52.95,179.08,-615.0,760.35,684.62,-4034.7,-12.75,-4936.07,432.45,-779.25,40.41,-4323.0,-2478.75,-6956.05,225.0,-41.85,190.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:23.755920,-1354.05,16.35,-1752.56,56.1,-2.4,-543.29,244.95,-792.75,-1346.73,2019.9,3967.8,-4688.75,-572.1,221.25,-1049.8,2171.55,-471.15,-146.41,2835.6,-3934.5,-1440.14,2977.05,-720.3,1139.09,-3658.5,536.1,5805.82,-2412.6,656.55,-733.02,1446.0,-121.5,410.92,-240.0,-55.65,172.79,-616.05,758.25,687.04,-4036.05,-17.55,-4929.54,436.5,-772.65,45.01,-4315.65,-2473.5,-6945.16,229.35,-37.5,185.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:23.978242,-1354.35,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58:24.206405,-1352.4,16.5,-1754.5,57.45,-3.45,-533.37,244.2,-795.45,-1351.09,2009.7,3960.45,-4688.99,-570.15,221.85,-1048.1,2167.65,-478.05,-141.09,2839.8,-3934.65,-1445.22,2982.3,-712.35,1142.0,-3657.6,530.85,5805.34,-2411.4,658.5,-727.45,1449.15,-120.9,421.08,-244.8,-49.35,182.95,-608.7,755.85,676.87,-4033.95,-9.3,-4927.36,437.1,-773.25,33.88,-4322.4,-2472.75,-6936.93,219.9,-32.55,191.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:24.440927,-1355.7,15.15,-1750.14,60.75,-5.55,-543.77,246.6,-794.1,-1352.3,2010.75,3957.0,-4697.7,-575.4,215.55,-1045.44,2172.6,-475.5,-142.54,2834.85,-3937.05,-1426.59,2978.7,-714.6,1137.16,-3655.95,536.55,5797.84,-2412.0,652.2,-732.29,1451.55,-120.15,420.11,-238.05,-56.55,181.5,-618.0,754.65,680.02,-4032.0,-8.4,-4941.88,439.65,-773.85,42.11,-4329.0,-2464.8,-6957.26,230.1,-31.2,187.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:24.673295,-1360.35,12.6,-1750.87,60.9,-6.6,-539.42,248.4,-794.7,-1341.89,2008.2,3977.7,-4691.9,-571.65,217.2,-1043.5,2175.0,-472.5,-136.25,2838.15,-3937.95,-1437.24,2982.6,-717.9,1141.51,-3662.1,537.75,5809.45,-2412.6,646.65,-733.74,1453.05,-118.5,417.21,-244.5,-55.65,181.26,-617.25,754.8,680.5,-4032.45,-8.55,-4934.38,439.8,-777.45,43.32,-4322.25,-2473.8,-6947.58,223.95,-28.65,185.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:24.904042,-1355.85,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.7,-39.75,183.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:25.139625,-1356.3,10.5,-1749.9,60.6,-7.35,-543.29,248.7,-799.05,-1340.68,2007.3,3946.2,-4696.74,-572.7,215.4,-1047.62,2172.75,-477.0,-142.78,2836.2,-3931.05,-1438.93,2980.35,-721.95,1142.48,-3654.75,539.1,5819.13,-2413.35,647.1,-724.06,1457.1,-125.25,410.43,-241.95,-53.7,179.08,-614.55,751.65,676.87,-4034.4,-7.95,-4931.96,430.05,-775.05,39.93,-4321.35,-2471.7,-6952.9,222.45,-36.15,188.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:25.369990,-1356.0,15.75,-1754.98,56.1,-11.1,-534.58,247.8,-796.35,-1350.36,2006.55,3961.65,-4698.19,-564.9,220.35,-1044.47,2168.25,-478.8,-152.46,2827.2,-3933.75,-1438.45,2977.5,-716.7,1134.25,-3653.1,541.35,5844.54,-2409.6,656.4,-723.82,1449.3,-118.8,417.93,-242.7,-55.2,170.85,-619.2,753.9,673.97,-4031.55,-9.3,-4927.12,426.9,-778.2,38.48,-4334.4,-2476.05,-6950.0,228.3,-35.85,192.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:25.595538,-1360.95,15.6,-1755.71,59.1,-11.1,-535.3,242.4,-796.5,-1344.31,2014.8,3967.2,-4697.7,-569.55,217.2,-1044.71,2181.15,-477.9,-146.89,2827.8,-3936.6,-1445.47,2970.3,-719.1,1135.71,-3656.7,537.75,5820.58,-2414.85,648.45,-727.69,1457.4,-117.3,417.45,-241.05,-52.95,167.71,-619.8,750.75,681.47,-4033.05,-8.25,-4940.91,430.5,-773.25,37.27,-4322.25,-2470.2,-6940.32,227.85,-32.7,193.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:26.022878,-1358.85,7.65,,,,,,,,2010.15,3955.2,-4691.17,-572.25,217.5,-1046.17,2168.1,-477.75,-142.78,2834.25,-3937.2,-1438.45,2979.15,-724.05,1149.98,-3661.2,537.9,5811.15,-2410.05,652.5,-724.31,1447.8,-123.45,414.3,-247.5,-49.2,175.45,-620.55,754.5,676.39,-4026.9,-14.7,-4932.44,436.35,-778.5,42.11,-4320.75,-2480.85,-6942.25,229.95,-31.2,192.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:26.236707,-1352.25,14.1,-1752.81,58.95,-11.1,-534.34,243.3,-796.95,-1341.41,2011.65,3974.85,-4689.72,-573.9,220.95,-1040.6,2173.8,-473.4,-142.54,2841.0,-3943.05,-1433.85,2974.65,-721.5,1139.58,-3653.25,541.65,5825.42,-2408.25,652.95,-727.69,1448.55,-118.2,408.5,-244.65,-55.35,178.11,-616.5,753.75,673.49,-4028.7,-9.15,-4936.07,438.75,-771.75,44.53,-4324.95,-2472.75,-6955.81,231.15,-36.9,185.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:26.460721,-1351.2,15.15,-1740.95,60.15,-3.6,-533.37,252.15,-794.85,-1339.71,2012.85,3975.75,-4697.95,-575.25,217.65,-1047.13,2175.3,-475.2,-143.02,2838.45,-3942.0,-1431.67,2977.5,-713.1,1138.37,-3654.0,542.85,5807.52,-2408.25,652.35,-729.63,1453.2,-116.7,417.93,-245.55,-54.75,183.68,-618.45,753.9,679.29,-4031.4,-15.3,-4935.35,441.3,-779.55,32.19,-4323.3,-2471.1,-6962.82,229.05,-38.55,194.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:26.686778,-1355.25,13.95,-1758.37,52.35,-12.0,-544.5,251.1,-795.15,-1347.46,2011.95,3969.3,-4693.59,-569.25,219.3,-1045.2,2173.2,-469.65,-143.75,2832.45,-3933.45,-1432.4,2978.55,-721.2,1149.98,-3657.75,535.35,5803.64,-2406.0,657.0,-716.32,1456.8,-123.0,415.03,-244.65,-54.6,174.24,-613.05,751.2,681.96,-4033.5,-7.95,-4932.69,435.75,-774.9,36.06,-4319.85,-2478.15,-6942.98,226.35,-35.7,191.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:26.927014,-1357.5,12.9,-1749.9,56.85,-11.1,-539.9,249.15,-796.05,-1354.47,2012.25,3964.95,-4697.22,-564.45,216.9,-1052.94,2174.25,-479.1,-146.89,2836.05,-3934.05,-1437.96,2979.45,-721.8,1143.93,-3652.05,535.65,5830.02,-2408.85,651.75,-719.22,1455.3,-117.75,422.53,-242.25,-52.35,171.82,-618.15,753.6,672.28,-4033.95,-17.7,-4932.93,441.0,-769.5,43.32,-4327.95,-2477.1,-6965.0,228.0,-33.45,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:27.152622,-1355.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58:27.403916,-1356.9,15.3,-1757.89,57.45,-7.05,-551.28,245.85,-795.45,-1340.2,2014.65,3980.4,-4694.8,-568.65,215.25,-1045.68,2168.85,-479.55,-132.13,2834.7,-3936.75,-1429.01,2982.0,-712.2,1147.32,-3656.7,537.6,5803.16,-2409.75,656.1,-720.68,1454.55,-121.8,414.79,-237.75,-52.65,180.53,-616.5,754.2,675.42,-4033.65,-8.25,-4935.11,430.5,-773.25,39.45,-4319.1,-2476.95,-6948.79,219.6,-35.4,196.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:27.645132,-1357.8,16.5,-1745.3,57.75,-5.1,-535.79,240.6,-792.0,-1342.37,2008.05,3984.9,-4685.36,-569.55,217.05,-1043.75,2175.75,-471.45,-147.38,2836.95,-3939.3,-1429.98,2982.15,-724.5,1150.23,-3654.75,538.2,5819.62,-2410.35,655.8,-719.47,1457.4,-119.4,417.93,-248.4,-50.25,189.97,-618.6,751.65,680.75,-4027.2,-6.45,-4937.04,441.15,-772.35,38.48,-4321.2,-2471.55,-6958.47,232.5,-38.55,189.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:27.879038,-1357.2,17.55,-1750.87,58.65,-10.35,-537.72,239.85,-796.65,-1346.73,2017.2,3970.65,-4695.04,-563.85,221.1,-1048.1,2169.3,-478.05,-150.04,2832.0,-3937.05,-1448.85,2981.55,-720.75,1147.81,-3659.85,534.15,5812.36,-2407.05,655.65,-727.94,1458.3,-125.4,417.69,-241.05,-57.6,170.61,-611.4,756.75,688.01,-4035.3,-11.85,-4939.7,442.95,-775.95,39.93,-4326.75,-2476.8,-6941.29,219.75,-35.55,191.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:28.112667,-1358.1,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-57.6,175.69,-612.15,753.6,687.76,-4035.9,-10.65,-4934.38,439.8,-771.0,36.06,-4309.8,-2468.85,-6942.74,228.75,-42.3,189.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:28.380740,-1356.0,15.15,-1749.42,61.2,-8.7,-536.51,247.35,-798.3,-1341.89,2007.15,3965.4,-4699.4,-574.35,217.2,-1047.62,2176.35,-471.0,-143.26,2836.35,-3938.1,-1428.04,2977.95,-714.6,1143.69,-3659.25,536.4,5812.6,-2414.25,654.9,-725.76,1447.35,-123.6,417.93,-238.05,-51.6,180.53,-611.7,755.25,685.59,-4027.65,-7.8,-4932.2,440.4,-777.0,39.69,-4301.25,-2478.3,-6902.57,228.15,-33.9,195.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:28.630139,-1361.85,12.75,-1754.02,58.65,-9.0,-534.09,247.2,-795.75,-1344.55,2011.2,3974.55,-4696.25,-564.6,216.3,-1045.92,2170.5,-474.0,-140.36,2842.2,-3943.5,-1429.25,2981.85,-717.9,1140.06,-3648.15,538.2,5822.04,-2411.7,657.75,-727.69,1449.6,-117.9,419.63,-241.35,-59.25,181.26,-612.6,755.25,679.05,-4032.9,-9.15,-4938.01,435.15,-771.75,41.38,-4318.65,-2477.1,-6942.74,222.0,-33.45,190.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:28.878295,-1355.25,21.6,-1748.69,61.35,-4.35,-535.79,246.3,-799.65,-1348.42,2009.7,3979.5,-4697.46,-569.4,216.0,-1055.36,2169.15,-473.4,-143.26,2837.4,-3937.65,-1434.33,2978.7,-718.65,1138.37,-3649.35,534.15,5813.57,-2410.95,659.7,-728.42,1450.65,-117.75,411.4,-242.1,-53.55,175.93,-614.85,756.6,684.62,-4034.85,-13.35,-4936.07,437.55,-775.35,36.54,-4310.25,-2470.95,-6945.88,221.85,-33.0,191.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
11:58:29.132057,-1357.5,15.3,,,-5.7,-536.03,253.8,-792.9,-1347.7,2008.35,3976.95,-4698.91,-568.05,216.45,-1046.17,2171.55,-477.45,-141.33,2832.45,-3945.0,-1441.84,2980.5,-717.15,1145.39,-3650.1,536.25,5830.75,-2408.7,656.1,-730.6,1458.75,-119.25,418.66,-240.6,-50.25,180.77,-611.25,752.85,675.91,-4033.95,-9.0,-4939.7,430.65,-773.1,35.82,-4320.15,-2473.05,-6949.76,225.9,-34.35,194.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:29.380479,-1354.35,18.0,-1754.74,55.8,-2.7,-534.09,247.35,-797.4,-1336.57,2011.95,3965.85,-4691.9,-570.45,219.75,-1050.28,2172.6,-471.3,-141.33,2833.65,-3938.1,-1442.56,2977.05,-717.45,1143.93,-3654.45,530.55,5827.36,-2408.1,648.6,-727.94,1451.85,-124.95,413.82,-238.35,-57.15,172.55,-612.15,749.55,674.7,-4031.1,-5.85,-4937.28,436.05,-773.1,47.19,-4321.65,-2471.4,-6946.37,220.95,-37.95,198.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:58:29.604519,-1356.0,19.2,-1747.48,57.15,-8.55,-532.64,246.15,-796.05,-1344.55,2012.4,3965.85,-4695.04,-567.0,216.0,-1044.47,2178.45,-485.25,-142.78,2832.45,-3932.7,-1424.41,2981.4,-717.0,1136.92,-3655.5,534.0,5826.15,-2411.55,654.0,-737.62,1451.25,-125.4,406.32,-238.95,-55.2,168.43,-612.6,753.0,685.83,-4029.75,-6.9,-4934.14,432.45,-776.4,41.62,-4320.45,-2473.8,-6952.9,224.85,-37.2,201.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
